Year,Subject,Achievement Level,Percentage
2023,Math,Pct Level 1,26
2022,Math,Pct Level 1,38
2019,Math,Pct Level 1,30
2018,Math,Pct Level 1,32
2017,Math,Pct Level 1,33
2016,Math,Pct Level 1,32
2015,Math,Pct Level 1,33
2014,Math,Pct Level 1,33
2013,Math,Pct Level 1,36
2023,ELA,Pct Level 1,22
2022,ELA,Pct Level 1,22
2019,ELA,Pct Level 1,24
2018,ELA,Pct Level 1,23
2017,ELA,Pct Level 1,25
2016,ELA,Pct Level 1,27
2015,ELA,Pct Level 1,33
2014,ELA,Pct Level 1,34
2013,ELA,Pct Level 1,36
2023,Math,Pct Level 2,24
2022,Math,Pct Level 2,23
2019,Math,Pct Level 2,24
2018,Math,Pct Level 2,24
2017,Math,Pct Level 2,29
2016,Math,Pct Level 2,30
2015,Math,Pct Level 2,31
2014,Math,Pct Level 2,31
2013,Math,Pct Level 2,33
2023,ELA,Pct Level 2,25
2022,ELA,Pct Level 2,28
2019,ELA,Pct Level 2,28
2018,ELA,Pct Level 2,29
2017,ELA,Pct Level 2,33
2016,ELA,Pct Level 2,34
2015,ELA,Pct Level 2,36
2014,ELA,Pct Level 2,36
2013,ELA,Pct Level 2,37
2023,Math,Pct Level 3,30
2022,Math,Pct Level 3,18
2019,Math,Pct Level 3,21
2018,Math,Pct Level 3,21
2017,Math,Pct Level 3,19
2016,Math,Pct Level 3,19
2015,Math,Pct Level 3,19
2014,Math,Pct Level 3,20
2013,Math,Pct Level 3,18
2023,ELA,Pct Level 3,29
2022,ELA,Pct Level 3,26
2019,ELA,Pct Level 3,27
2018,ELA,Pct Level 3,27
2017,ELA,Pct Level 3,25
2016,ELA,Pct Level 3,25
2015,ELA,Pct Level 3,21
2014,ELA,Pct Level 3,20
2013,ELA,Pct Level 3,19
2023,Math,Pct Level 4,19
2022,Math,Pct Level 4,19
2019,Math,Pct Level 4,23
2018,Math,Pct Level 4,21
2017,Math,Pct Level 4,17
2016,Math,Pct Level 4,17
2015,Math,Pct Level 4,15
2014,Math,Pct Level 4,14
2013,Math,Pct Level 4,11
2023,ELA,Pct Level 4,22
2022,ELA,Pct Level 4,22
2019,ELA,Pct Level 4,19
2018,ELA,Pct Level 4,19
2017,ELA,Pct Level 4,14
2016,ELA,Pct Level 4,12
2015,ELA,Pct Level 4,9
2014,ELA,Pct Level 4,8
2013,ELA,Pct Level 4,7
